ANO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P801_1,P801_2,P801_3,P801_4,P801_5,P801_6,P801_7,P801_8,P801_9,P801_10,P801_11,P801_12,P801_13,P801_14,P801_15,P801_16,P801_17,P801_20,P801_18,P801_19,P806,TICUEST01,FACTOR07,NCONGLOME,SUB_CONGLOME
2022,01,005591,018,11,040413,3,5,01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,63.6188354492188,041795,00
2022,01,005591,029,11,040413,3,5,01,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,63.6188354492188,041795,00
2022,01,005591,065,11,040413,3,5,02,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,63.6188354492188,041795,00
2022,01,005591,100,11,040413,3,5,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,63.6188354492188,041795,00
2022,01,005655,095,11,040608,6,7,01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,134.553329467773,041691,00
2022,01,005655,096,11,040608,6,7,00,99, , , , , , , , , , , , , , , , , , , , ,2,134.553329467773,041691,00
2022,01,005655,098,11,040608,6,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,2,134.553329467773,041691,00
2022,01,005655,272,11,040608,6,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,134.553329467773,041691,00
2022,01,005655,273,11,040608,6,7,01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,134.553329467773,041691,00
2022,01,005655,275,11,040608,6,7,01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,134.553329467773,041691,00
2022,01,005655,281,11,040608,6,7,02,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,134.553329467773,041691,00
2022,01,005692,007,11,050101,5,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,2,419.929168701172,035183,00
2022,01,005692,023,11,050101,5,2,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,419.929168701172,035183,00
2022,01,005692,068,11,050101,5,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,2,419.929168701172,035183,00
2022,01,005692,080,11,050101,5,2,01,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0, ,2,419.929168701172,035183,00
2022,01,005692,097,11,050101,5,2,02,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0, ,2,419.929168701172,035183,00
2022,01,005829,064,11,050602,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,153.540969848633,035823,00
2022,01,005829,066,11,050602,5,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,153.540969848633,035823,00
2022,01,005829,067,11,050602,5,7,01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,153.540969848633,035823,00
2022,01,005829,152,11,050602,5,7,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,153.540969848633,035823,00
2022,01,005829,160,11,050602,5,7,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0, ,2,153.540969848633,035823,00
2022,01,005886,024,11,060801,7,3,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,2,768.868530273438,004673,00
